,Genre,Metascore,Released,Title,imdbID,imdbRating,imdbVotes
81,"Action, Adventure, Fantasy, Sci-Fi",57,06 May 2011,Thor,tt0800369,7.0,"668,173"
82,"Adventure, Drama, Sport, Thriller",43,25 Mar 2010,Frozen,tt1323045,6.2,"61,887"
83,"Action, Adventure, Family, Fantasy",20,01 Jul 2010,The Last Airbender,tt0938283,4.1,"136,672"
84,"Drama, Fantasy, Horror, Thriller",43,12 Feb 2010,The Wolfman,tt0780653,5.8,"97,459"
85,"Mystery, Thriller",48,15 May 2009,Angels & Demons,tt0808151,6.7,"250,653"
86,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",41,24 Jul 2009,G-Force,tt0436339,5.1,"38,797"
87,"Action, Adventure, Sci-Fi, Thriller",40,01 May 2009,X-Men Origins: Wolverine,tt0458525,6.6,"431,892"
88,"Animation, Adventure, Comedy, Drama, Family",67,21 Nov 2008,Bolt,tt0397892,6.9,"172,390"
89,"Action, Drama, Fantasy",49,02 Jul 2008,Hancock,tt0448157,6.4,"408,270"
90,"Animation, Action, Adventure, Fantasy",59,16 Nov 2007,Beowulf,tt0442933,6.2,"154,462"
91,"Adventure, Family, Fantasy, Mystery",71,11 Jul 2007,Harry Potter and the Order of the Phoenix,tt0373889,7.5,"448,104"
92,"Drama, Horror, Sci-Fi, Thriller",65,14 Dec 2007,I Am Legend,tt0480249,7.2,"628,576"
93,"Animation, Adventure, Comedy, Drama, Family, Fantasy",96,29 Jun 2007,Ratatouille,tt0382932,8.0,"572,588"
94,"Action, Adventure",70,15 Jun 2005,Batman Begins,tt0372784,8.2,"1,179,207"
95,"Adventure, Comedy, Family, Fantasy, Musical",72,15 Jul 2005,Charlie and the Chocolate Factory,tt0367594,6.6,"386,322"
96,"Adventure, Family, Fantasy, Mystery",81,18 Nov 2005,Harry Potter and the Goblet of Fire,tt0330373,7.7,"484,151"
97,"Drama, History",56,14 May 2004,Troy,tt0332452,7.2,"447,135"
98,"Animation, Adventure, Comedy, Family, Fantasy",74,03 Nov 2006,Flushed Away,tt0424095,6.6,"101,775"
99,"Animation, Adventure, Comedy, Family",60,08 Jun 2012,Madagascar 3: Europe's Most Wanted,tt1277953,6.8,"144,304"
100,"Animation, Action, Adventure, Comedy, Family, Fantasy",57,21 Nov 2012,Rise of the Guardians,tt1446192,7.3,"144,374"
101,"Action, Adventure, Thriller",73,21 Dec 2011,Mission: Impossible - Ghost Protocol,tt1229238,7.4,"424,692"
102,"Animation, Adventure, Family, Romance",79,18 Jun 1999,Tarzan,tt0120855,7.3,"179,389"
103,"Action, Adventure, Thriller",56,22 Nov 2002,Die Another Day,tt0246460,6.1,"190,758"
